purchase_id,delivery_company,purchase_month,purchase_day,purchase_hour,purchase_weekday,delivery_month,delivery_day,delivery_hour,delivery_weekday,shipping_time_in_hours
20083,C620,1,3,19,Sunday,1,6,5,Wednesday,58
20084,C360,1,6,12,Wednesday,1,9,12,Saturday,72
20085,C620,1,3,1,Sunday,1,5,2,Tuesday,48
20086,C360,1,4,8,Monday,1,7,23,Thursday,87
20087,C516,1,8,2,Friday,1,11,7,Monday,76
20088,C360,1,1,21,Friday,1,5,7,Tuesday,82
20089,C516,1,7,5,Thursday,1,10,5,Sunday,72
20090,C516,1,7,2,Thursday,1,10,5,Sunday,74
20091,C516,1,3,10,Sunday,1,6,2,Wednesday,63
20092,C360,1,1,7,Friday,1,4,8,Monday,72
20093,C516,1,8,1,Friday,1,10,16,Sunday,63
20094,C516,1,2,15,Saturday,1,4,18,Monday,50
20095,C620,1,7,19,Thursday,1,10,7,Sunday,60
20096,C360,1,5,6,Tuesday,1,8,4,Friday,69
20097,C360,1,1,7,Friday,1,6,1,Wednesday,113
20098,C516,1,1,11,Friday,1,3,2,Sunday,38
20099,C360,1,3,12,Sunday,1,6,18,Wednesday,78
20100,C516,1,4,19,Monday,1,7,12,Thursday,64
20101,C620,1,1,8,Friday,1,3,16,Sunday,55
20102,C360,1,7,16,Thursday,1,11,5,Monday,84
20103,C360,1,3,8,Sunday,1,7,7,Thursday,95
20104,C620,1,2,3,Saturday,1,5,8,Tuesday,76
20105,C360,1,3,19,Sunday,1,6,20,Wednesday,72
20106,C360,1,2,7,Saturday,1,4,7,Monday,48
20107,C516,1,4,19,Monday,1,5,6,Tuesday,11
20108,C360,1,3,20,Sunday,1,6,1,Wednesday,52
20109,C360,1,3,23,Sunday,1,6,6,Wednesday,54
20110,C620,1,6,14,Wednesday,1,7,19,Thursday,29
20111,C516,1,6,3,Wednesday,1,6,14,Wednesday,11
20112,C620,1,2,7,Saturday,1,3,13,Sunday,29
20113,C516,1,6,16,Wednesday,1,7,2,Thursday,9
20114,C360,1,3,10,Sunday,1,5,1,Tuesday,38
20115,C620,1,1,4,Friday,1,2,4,Saturday,24
20116,C516,1,4,9,Monday,1,4,16,Monday,7
20117,C620,1,3,16,Sunday,1,4,19,Monday,26
20118,C360,1,1,15,Friday,1,3,6,Sunday,38
20119,C360,1,1,12,Friday,1,3,21,Sunday,56
20120,C620,1,2,23,Saturday,1,4,1,Monday,25
20121,C360,1,7,8,Thursday,1,9,6,Saturday,45
20122,C620,1,5,21,Tuesday,1,6,21,Wednesday,23
20123,C620,1,2,17,Saturday,1,3,21,Sunday,28
20124,C360,1,4,7,Monday,1,6,5,Wednesday,46
20125,C620,1,1,12,Friday,1,3,8,Sunday,44
20126,C620,1,5,5,Tuesday,1,6,8,Wednesday,27
20128,C516,1,2,16,Saturday,1,3,13,Sunday,21
20129,C360,1,5,10,Tuesday,1,6,21,Wednesday,34
20130,C516,1,7,4,Thursday,1,8,8,Friday,28
20131,C620,1,2,9,Saturday,1,3,4,Sunday,19
20132,C360,1,1,7,Friday,1,3,0,Sunday,41
20133,C620,1,3,6,Sunday,1,5,9,Tuesday,50
20134,C620,1,5,17,Tuesday,1,6,18,Wednesday,25
20135,C360,1,8,8,Friday,1,10,13,Sunday,52
20136,C516,1,5,18,Tuesday,1,7,4,Thursday,33
20137,C516,1,3,5,Sunday,1,4,21,Monday,40
20139,C516,1,5,0,Tuesday,1,6,1,Wednesday,25
20140,C360,1,4,3,Monday,1,6,23,Wednesday,68
20141,C516,1,7,12,Thursday,1,8,11,Friday,23
20143,C360,1,5,15,Tuesday,1,7,12,Thursday,45
20144,C360,1,6,2,Wednesday,1,8,1,Friday,46
20145,C360,1,7,3,Thursday,1,9,4,Saturday,49
20146,C620,1,7,14,Thursday,1,9,15,Saturday,49
20147,C620,1,6,13,Wednesday,1,8,9,Friday,44
20148,C620,1,6,14,Wednesday,1,8,12,Friday,45
20150,C360,1,1,23,Friday,1,4,9,Monday,57
20151,C360,1,6,21,Wednesday,1,8,23,Friday,49
20152,C516,1,5,13,Tuesday,1,7,0,Thursday,35
20154,C360,1,6,13,Wednesday,1,8,5,Friday,40
20155,C516,1,3,13,Sunday,1,4,17,Monday,27
20156,C360,1,7,19,Thursday,1,10,11,Sunday,63
20157,C360,1,7,23,Thursday,1,9,16,Saturday,40
20158,C620,1,5,21,Tuesday,1,7,1,Thursday,27
20159,C516,1,6,21,Wednesday,1,8,0,Friday,26
20161,C620,1,7,6,Thursday,1,8,17,Friday,35
20162,C620,1,8,7,Friday,1,9,15,Saturday,32
20163,C360,1,5,1,Tuesday,1,7,4,Thursday,51
20164,C360,1,3,15,Sunday,1,5,18,Tuesday,50
20165,C360,1,6,22,Wednesday,1,8,17,Friday,43
20168,C360,1,7,22,Thursday,1,9,16,Saturday,41
20169,C620,1,2,15,Saturday,1,4,10,Monday,43
20170,C516,1,5,22,Tuesday,1,7,4,Thursday,29
20171,C620,1,6,4,Wednesday,1,7,13,Thursday,33
20172,C516,1,5,6,Tuesday,1,6,23,Wednesday,40
20173,C360,1,3,20,Sunday,1,5,18,Tuesday,46
20174,C360,1,7,9,Thursday,1,9,5,Saturday,43
20175,C620,1,4,21,Monday,1,6,13,Wednesday,40
20176,C620,1,4,20,Monday,1,6,8,Wednesday,35
20177,C620,1,4,6,Monday,1,6,4,Wednesday,45
20178,C360,1,3,5,Sunday,1,4,21,Monday,40
20179,C516,1,8,6,Friday,1,9,14,Saturday,31
20180,C360,1,1,15,Friday,1,3,11,Sunday,43
20181,C360,1,3,6,Sunday,1,5,18,Tuesday,59
20182,C620,1,3,6,Sunday,1,6,0,Wednesday,65
20183,C516,1,3,17,Sunday,1,6,15,Wednesday,69
20184,C516,1,1,9,Friday,1,4,0,Monday,62
20185,C516,1,6,13,Wednesday,1,8,20,Friday,55
20186,C516,1,7,11,Thursday,1,9,9,Saturday,45
20187,C360,1,3,14,Sunday,1,6,16,Wednesday,73
20188,C516,1,2,20,Saturday,1,6,8,Wednesday,83
20190,C360,1,1,1,Friday,1,4,6,Monday,77
20192,C620,1,5,9,Tuesday,1,8,1,Friday,63
20193,C360,1,2,8,Saturday,1,6,2,Wednesday,90
20194,C516,1,3,0,Sunday,1,5,21,Tuesday,68
20195,C360,1,7,4,Thursday,1,10,0,Sunday,68
20196,C620,1,7,0,Thursday,1,9,10,Saturday,57
20197,C620,1,6,19,Wednesday,1,9,12,Saturday,64
20199,C360,1,7,11,Thursday,1,10,15,Sunday,76
20200,C360,1,3,5,Sunday,1,5,18,Tuesday,61
20201,C360,1,6,6,Wednesday,1,9,8,Saturday,73
20202,C360,1,6,8,Wednesday,1,9,12,Saturday,76
20203,C516,1,4,11,Monday,1,7,13,Thursday,73
20204,C360,1,6,21,Wednesday,1,9,21,Saturday,72
20205,C620,1,2,2,Saturday,1,5,2,Tuesday,72
20207,C516,1,6,6,Wednesday,1,8,18,Friday,59
20208,C516,1,1,6,Friday,1,4,4,Monday,69
20210,C620,1,2,8,Saturday,1,5,4,Tuesday,67
20211,C360,1,3,9,Sunday,1,6,19,Wednesday,81
20212,C360,1,1,2,Friday,1,3,16,Sunday,62
20213,C360,1,1,3,Friday,1,3,23,Sunday,67
20214,C620,1,3,12,Sunday,1,6,15,Wednesday,75
20215,C516,1,2,10,Saturday,1,5,2,Tuesday,63
20216,C360,1,7,10,Thursday,1,10,22,Sunday,83
20217,C360,1,2,15,Saturday,1,5,16,Tuesday,73
20218,C620,1,7,7,Thursday,1,10,3,Sunday,67
20219,C516,1,7,7,Thursday,1,9,11,Saturday,52
20220,C516,1,4,11,Monday,1,6,10,Wednesday,47
20221,C360,1,4,7,Monday,1,6,19,Wednesday,60
20222,C620,1,1,14,Friday,1,3,8,Sunday,41
20223,C360,1,4,18,Monday,1,8,0,Friday,78
20225,C516,1,1,18,Friday,1,3,3,Sunday,33
20226,C620,1,5,17,Tuesday,1,8,1,Friday,56
20228,C620,1,4,17,Monday,1,7,9,Thursday,64
20229,C620,1,3,9,Sunday,1,5,5,Tuesday,44
20230,C516,1,4,9,Monday,1,6,18,Wednesday,56
20231,C360,1,4,21,Monday,1,7,23,Thursday,73
20232,C620,1,3,15,Sunday,1,5,6,Tuesday,38
20233,C516,1,7,4,Thursday,1,9,4,Saturday,48
20234,C516,1,5,0,Tuesday,1,6,18,Wednesday,41
20235,C516,1,6,10,Wednesday,1,8,3,Friday,40
20236,C620,1,5,17,Tuesday,1,8,2,Friday,57
20237,C360,1,4,17,Monday,1,7,13,Thursday,68
20238,C620,1,4,10,Monday,1,6,10,Wednesday,47
20240,C516,1,3,7,Sunday,1,5,2,Tuesday,43
20242,C360,1,7,23,Thursday,1,11,0,Monday,73
20243,C360,1,2,4,Saturday,1,4,13,Monday,57
20244,C516,1,6,1,Wednesday,1,8,3,Friday,50
20245,C620,1,6,20,Wednesday,1,8,20,Friday,48
20246,C360,1,4,10,Monday,1,7,8,Thursday,69
20247,C360,1,4,4,Monday,1,7,6,Thursday,73
20249,C516,1,5,17,Tuesday,1,7,20,Thursday,51
20250,C516,1,5,11,Tuesday,1,7,9,Thursday,45
20251,C620,1,5,9,Tuesday,1,7,9,Thursday,47
20252,C620,1,5,16,Tuesday,1,8,5,Friday,61
20253,C620,1,1,4,Friday,1,3,12,Sunday,55
20255,C516,1,1,22,Friday,1,3,11,Sunday,37
20257,C516,1,2,10,Saturday,1,4,12,Monday,49
20258,C620,1,4,11,Monday,1,6,12,Wednesday,49
20259,C620,1,5,14,Tuesday,1,6,20,Wednesday,30
20260,C360,1,3,10,Sunday,1,5,23,Tuesday,60
20261,C516,1,4,4,Monday,1,5,14,Tuesday,34
20263,C620,1,6,20,Wednesday,1,7,5,Thursday,9
20264,C516,1,7,4,Thursday,1,7,5,Thursday,1
20266,C360,1,6,2,Wednesday,1,7,18,Thursday,39
20268,C360,1,5,22,Tuesday,1,7,23,Thursday,48
20269,C516,1,1,6,Friday,1,1,12,Friday,6
20270,C360,1,8,1,Friday,1,10,16,Sunday,63
20271,C620,1,5,3,Tuesday,1,6,20,Wednesday,40
20272,C360,1,7,4,Thursday,1,10,3,Sunday,70
20273,C516,1,5,17,Tuesday,1,5,22,Tuesday,5
20274,C620,1,7,16,Thursday,1,8,17,Friday,24
20275,C360,1,5,7,Tuesday,1,7,12,Thursday,52
20276,C360,1,3,1,Sunday,1,5,3,Tuesday,50
20277,C620,1,6,1,Wednesday,1,6,19,Wednesday,18
20278,C516,1,1,5,Friday,1,1,22,Friday,16
20279,C360,1,3,16,Sunday,1,6,2,Wednesday,57
20280,C620,1,2,3,Saturday,1,3,8,Sunday,29
20281,C620,1,5,14,Tuesday,1,6,9,Wednesday,18
20282,C620,1,1,10,Friday,1,2,14,Saturday,27
20283,C360,1,5,23,Tuesday,1,8,8,Friday,57
20284,C360,1,3,10,Sunday,1,4,22,Monday,36
20285,C620,1,4,1,Monday,1,4,20,Monday,18
20287,C516,1,7,7,Thursday,1,7,13,Thursday,5
20288,C516,1,2,19,Saturday,1,3,4,Sunday,8
20289,C360,1,2,9,Saturday,1,4,3,Monday,42
20290,C360,1,5,4,Tuesday,1,7,4,Thursday,47
20291,C360,1,6,6,Wednesday,1,8,4,Friday,46
20292,C516,1,7,19,Thursday,1,8,7,Friday,11
20294,C620,1,6,9,Wednesday,1,7,15,Thursday,29
20296,C360,1,6,5,Wednesday,1,7,23,Thursday,41
20297,C620,1,6,6,Wednesday,1,7,18,Thursday,35
20298,C360,1,3,3,Sunday,1,5,9,Tuesday,54
20299,C620,1,1,21,Friday,1,3,11,Sunday,37
20300,C620,1,7,13,Thursday,1,8,15,Friday,25
20301,C516,1,7,19,Thursday,1,8,7,Friday,12
20302,C620,1,6,20,Wednesday,1,8,7,Friday,34
20303,C620,1,1,9,Friday,1,2,16,Saturday,30
20304,C620,1,5,1,Tuesday,1,6,14,Wednesday,36
20305,C620,1,7,4,Thursday,1,7,18,Thursday,14
20306,C620,1,2,19,Saturday,1,3,23,Sunday,27
20307,C620,1,8,4,Friday,1,9,16,Saturday,36
20308,C516,1,1,14,Friday,1,2,1,Saturday,11
20309,C620,1,7,8,Thursday,1,8,4,Friday,19
20311,C620,1,3,4,Sunday,1,4,11,Monday,31
20312,C620,1,5,6,Tuesday,1,6,17,Wednesday,34
20313,C516,1,4,0,Monday,1,6,11,Wednesday,59
20314,C620,1,3,8,Sunday,1,6,15,Wednesday,78
20315,C516,1,7,7,Thursday,1,7,16,Thursday,9
20316,C516,1,2,20,Saturday,1,3,7,Sunday,10
20317,C360,1,8,6,Friday,1,10,8,Sunday,49
20318,C360,1,2,12,Saturday,1,4,13,Monday,49
20319,C620,1,1,15,Friday,1,2,16,Saturday,25
20321,C516,1,3,10,Sunday,1,4,8,Monday,21
20322,C620,1,8,10,Friday,1,9,12,Saturday,25
20323,C516,1,6,6,Wednesday,1,6,16,Wednesday,10
20324,C360,1,2,17,Saturday,1,4,14,Monday,44
20326,C620,1,6,11,Wednesday,1,8,2,Friday,39
20327,C620,1,4,11,Monday,1,5,13,Tuesday,26
20328,C360,1,5,3,Tuesday,1,7,7,Thursday,52
20329,C516,1,1,3,Friday,1,2,2,Saturday,22
20330,C620,1,6,17,Wednesday,1,7,4,Thursday,11
20331,C360,1,4,21,Monday,1,7,7,Thursday,57
20332,C360,1,2,16,Saturday,1,4,7,Monday,38
20333,C516,1,2,8,Saturday,1,3,1,Sunday,17
20334,C620,1,2,8,Saturday,1,3,15,Sunday,30
20336,C360,1,6,1,Wednesday,1,7,22,Thursday,44
20337,C360,1,4,4,Monday,1,6,5,Wednesday,49
20338,C620,1,7,20,Thursday,1,9,4,Saturday,32
20339,C516,1,2,1,Saturday,1,2,9,Saturday,8
20340,C516,1,5,2,Tuesday,1,5,11,Tuesday,9
20341,C360,1,1,13,Friday,1,3,19,Sunday,53
20342,C620,1,3,23,Sunday,1,5,17,Tuesday,42
20344,C620,1,8,10,Friday,1,9,22,Saturday,36
20345,C516,1,6,7,Wednesday,1,6,23,Wednesday,15
20347,C620,1,4,18,Monday,1,5,13,Tuesday,18
20348,C516,1,5,6,Tuesday,1,5,9,Tuesday,3
20349,C620,1,5,12,Tuesday,1,7,3,Thursday,38
20350,C620,1,2,1,Saturday,1,3,4,Sunday,27
20351,C360,1,3,19,Sunday,1,6,4,Wednesday,56
20352,C360,1,2,8,Saturday,1,4,6,Monday,46
20353,C620,1,6,15,Wednesday,1,8,19,Friday,51
20356,C360,1,4,6,Monday,1,7,15,Thursday,81
20357,C620,1,5,17,Tuesday,1,8,21,Friday,75
20358,C620,1,2,22,Saturday,1,6,1,Wednesday,74
20359,C360,1,4,15,Monday,1,7,15,Thursday,72
20360,C360,1,3,20,Sunday,1,6,22,Wednesday,74
20361,C620,1,3,4,Sunday,1,5,14,Tuesday,58
20362,C360,1,1,6,Friday,1,4,16,Monday,82
20364,C516,1,8,9,Friday,1,11,3,Monday,65
20365,C516,1,6,14,Wednesday,1,9,6,Saturday,63
20366,C620,1,3,12,Sunday,1,6,6,Wednesday,66
20367,C620,1,1,5,Friday,1,4,3,Monday,69
20368,C620,1,1,18,Friday,1,4,13,Monday,67
20369,C620,1,7,9,Thursday,1,10,5,Sunday,67
20370,C516,1,3,13,Sunday,1,6,8,Wednesday,66
20371,C516,1,7,4,Thursday,1,9,22,Saturday,66
20372,C516,1,3,6,Sunday,1,5,20,Tuesday,62
20373,C360,1,1,15,Friday,1,4,9,Monday,65
20374,C360,1,3,9,Sunday,1,6,4,Wednesday,67
20376,C516,1,4,6,Monday,1,7,13,Thursday,78
20377,C620,1,2,4,Saturday,1,5,20,Tuesday,88
20378,C620,1,1,10,Friday,1,4,12,Monday,74
20379,C516,1,1,11,Friday,1,4,8,Monday,68
20380,C516,1,1,5,Friday,1,3,22,Sunday,65
20382,C620,1,4,1,Monday,1,6,15,Wednesday,62
20384,C620,1,4,12,Monday,1,7,10,Thursday,70
20385,C360,1,7,6,Thursday,1,10,9,Sunday,74
20386,C620,1,2,1,Saturday,1,5,16,Tuesday,86
20387,C516,1,7,4,Thursday,1,9,1,Saturday,44
20388,C360,1,1,13,Friday,1,4,21,Monday,79
20389,C516,1,7,5,Thursday,1,10,5,Sunday,71
20390,C516,1,6,6,Wednesday,1,9,4,Saturday,70
20391,C516,1,8,7,Friday,1,10,22,Sunday,63
20392,C516,1,1,19,Friday,1,5,0,Tuesday,76
20393,C360,1,7,22,Thursday,1,10,11,Sunday,61
20394,C620,1,6,9,Wednesday,1,9,0,Saturday,63
20395,C516,1,3,23,Sunday,1,6,8,Wednesday,57
20396,C516,1,8,5,Friday,1,11,6,Monday,73
20397,C360,1,5,8,Tuesday,1,8,6,Friday,70
20398,C360,1,4,10,Monday,1,7,14,Thursday,75
20399,C360,1,7,7,Thursday,1,10,0,Sunday,65
20400,C516,1,1,17,Friday,1,4,18,Monday,72
20401,C620,1,4,1,Monday,1,7,2,Thursday,73
20402,C620,1,1,1,Friday,1,4,1,Monday,72
20403,C620,1,6,7,Wednesday,1,8,20,Friday,61
20404,C620,1,2,1,Saturday,1,5,3,Tuesday,74
20405,C360,1,7,16,Thursday,1,11,17,Monday,96
20406,C620,1,7,20,Thursday,1,11,1,Monday,76
20407,C516,1,5,8,Tuesday,1,7,19,Thursday,58
20408,C516,1,5,11,Tuesday,1,7,21,Thursday,57
20409,C516,1,1,15,Friday,1,4,9,Monday,65
20410,C360,1,7,19,Thursday,1,11,4,Monday,80
20411,C516,1,8,3,Friday,1,10,11,Sunday,55
20412,C360,1,2,15,Saturday,1,5,16,Tuesday,72
20413,C360,1,4,1,Monday,1,6,22,Wednesday,68
20414,C516,1,7,14,Thursday,1,10,6,Sunday,63
20415,C360,1,3,16,Sunday,1,6,9,Wednesday,64
20416,C516,1,4,14,Monday,1,7,17,Thursday,75
20417,C516,1,3,13,Sunday,1,6,19,Wednesday,78
20418,C620,1,6,16,Wednesday,1,9,11,Saturday,66
20419,C360,1,5,21,Tuesday,1,8,11,Friday,62
20420,C516,1,3,0,Sunday,1,5,12,Tuesday,59
20421,C516,1,1,18,Friday,1,3,23,Sunday,52
20422,C620,1,1,11,Friday,1,3,16,Sunday,53
20423,C516,1,2,18,Saturday,1,4,2,Monday,32
20424,C620,1,6,21,Wednesday,1,9,4,Saturday,54
20425,C620,1,4,19,Monday,1,7,7,Thursday,59
20426,C516,1,7,23,Thursday,1,10,10,Sunday,58
20427,C620,1,7,22,Thursday,1,10,1,Sunday,50
20428,C516,1,6,5,Wednesday,1,8,5,Friday,48
20429,C620,1,6,6,Wednesday,1,8,13,Friday,54
20430,C360,1,3,21,Sunday,1,7,1,Thursday,76
20431,C360,1,3,4,Sunday,1,6,4,Wednesday,71
20432,C360,1,6,19,Wednesday,1,9,23,Saturday,76
20433,C620,1,2,18,Saturday,1,4,16,Monday,45
20434,C620,1,8,8,Friday,1,10,14,Sunday,54
20435,C516,1,1,13,Friday,1,2,18,Saturday,28
20436,C516,1,1,6,Friday,1,2,11,Saturday,28
20437,C620,1,2,2,Saturday,1,4,21,Monday,66
20438,C360,1,1,7,Friday,1,4,18,Monday,83
20439,C620,1,5,22,Tuesday,1,8,16,Friday,65
20440,C360,1,7,20,Thursday,1,11,6,Monday,81
20441,C516,1,4,20,Monday,1,6,15,Wednesday,43
20442,C620,1,3,17,Sunday,1,6,4,Wednesday,59
20443,C620,1,5,7,Tuesday,1,7,4,Thursday,45
20444,C516,1,4,9,Monday,1,6,3,Wednesday,42
20446,C620,1,7,23,Thursday,1,10,2,Sunday,50
20447,C620,1,6,9,Wednesday,1,8,16,Friday,55
20448,C516,1,8,6,Friday,1,10,0,Sunday,41
20449,C360,1,7,12,Thursday,1,9,17,Saturday,53
20450,C360,1,1,1,Friday,1,3,23,Sunday,70
20452,C360,1,2,4,Saturday,1,5,1,Tuesday,68
20453,C516,1,4,13,Monday,1,6,17,Wednesday,52
20454,C360,1,1,2,Friday,1,3,22,Sunday,68
20455,C620,1,1,14,Friday,1,3,23,Sunday,57
20456,C516,1,7,6,Thursday,1,8,22,Friday,39
20457,C516,1,6,23,Wednesday,1,8,16,Friday,41
20458,C360,1,2,15,Saturday,1,5,23,Tuesday,80
20459,C620,1,5,21,Tuesday,1,8,0,Friday,51
20460,C516,1,2,13,Saturday,1,4,7,Monday,41
20461,C516,1,1,3,Friday,1,2,16,Saturday,36
20462,C360,1,5,4,Tuesday,1,8,3,Friday,70
20463,C516,1,3,14,Sunday,1,5,7,Tuesday,40
20464,C620,1,7,6,Thursday,1,9,2,Saturday,43
20465,C360,1,2,9,Saturday,1,5,0,Tuesday,62
20466,C620,1,5,7,Tuesday,1,7,13,Thursday,53
20467,C516,1,7,9,Thursday,1,8,21,Friday,35
20468,C620,1,3,7,Sunday,1,5,3,Tuesday,43
20469,C620,1,5,4,Tuesday,1,6,11,Wednesday,31
20470,C360,1,4,14,Monday,1,5,22,Tuesday,32
20471,C620,1,7,17,Thursday,1,9,6,Saturday,37
20472,C516,1,3,16,Sunday,1,5,1,Tuesday,33
20473,C516,1,7,18,Thursday,1,9,1,Saturday,30
20474,C360,1,7,18,Thursday,1,9,8,Saturday,38
20475,C360,1,1,12,Friday,1,3,6,Sunday,41
20476,C516,1,5,5,Tuesday,1,6,11,Wednesday,30
20478,C516,1,1,14,Friday,1,3,8,Sunday,41
20479,C360,1,5,4,Tuesday,1,7,6,Thursday,50
20480,C360,1,2,4,Saturday,1,3,10,Sunday,29
20481,C516,1,1,6,Friday,1,2,11,Saturday,29
20482,C360,1,1,3,Friday,1,2,19,Saturday,40
20483,C620,1,3,11,Sunday,1,5,2,Tuesday,39
20484,C620,1,5,13,Tuesday,1,7,2,Thursday,36
20485,C360,1,1,20,Friday,1,3,2,Sunday,30
20486,C516,1,7,20,Thursday,1,9,7,Saturday,35
20487,C620,1,3,3,Sunday,1,5,9,Tuesday,53
20488,C620,1,3,3,Sunday,1,4,12,Monday,32
20489,C360,1,2,2,Saturday,1,3,18,Sunday,39
20490,C360,1,1,20,Friday,1,3,16,Sunday,43
20491,C360,1,6,2,Wednesday,1,7,18,Thursday,39
20492,C516,1,1,21,Friday,1,2,7,Saturday,9
20493,C516,1,7,14,Thursday,1,9,4,Saturday,37
20494,C516,1,6,5,Wednesday,1,7,6,Thursday,24
20495,C360,1,7,19,Thursday,1,9,14,Saturday,43
20496,C516,1,3,12,Sunday,1,5,1,Tuesday,36
20497,C620,1,4,1,Monday,1,5,14,Tuesday,37
20498,C620,1,7,15,Thursday,1,9,8,Saturday,40
20500,C620,1,6,5,Wednesday,1,7,17,Thursday,36
20501,C516,1,7,5,Thursday,1,9,2,Saturday,44
20502,C620,1,6,3,Wednesday,1,7,11,Thursday,32
20503,C360,1,1,11,Friday,1,3,9,Sunday,46
20504,C516,1,6,22,Wednesday,1,8,1,Friday,26
20505,C516,1,7,21,Thursday,1,9,4,Saturday,30
20506,C620,1,3,16,Sunday,1,5,6,Tuesday,37
20507,C516,1,8,3,Friday,1,10,0,Sunday,45
20508,C620,1,5,12,Tuesday,1,7,8,Thursday,43
20509,C516,1,3,13,Sunday,1,5,4,Tuesday,39
20510,C516,1,5,19,Tuesday,1,6,21,Wednesday,26
20511,C516,1,1,17,Friday,1,2,18,Saturday,24
20512,C620,1,1,22,Friday,1,3,13,Sunday,39
20513,C620,1,4,15,Monday,1,6,13,Wednesday,45
20514,C516,1,6,2,Wednesday,1,7,14,Thursday,35
